ces_industry,employment,growth
60541900,768.20001,.2348627
60541910,,
60541920,,
60541940,,
60541990,,
60550000,2455.6001,.11008175
60551112,,
60551114,,
60560000,9339.5,-.64995438
60561000,8872.5996,-.68281549
60561100,533.79999,.30063426
60561200,165.89999,.85106009
60561300,3604.8,-1.3410696
60561310,,
60561311,,
60561312,,
60561320,2892.7,-1.6824145
60561330,,
60561400,867.29999,-.2415501
60561410,,
60561420,,
60561421,,
60561422,,
60561430,,
60561440,,
60561450,,
60561490,,
60561500,216,-2.9213483
60561510,,
60561520,,
60561590,,
60561600,970.40002,-.092655554
60561610,,
60561611,,
60561613,,
60561620,,
60561700,2175.1001,-.11021365
60561710,,
60561720,,
60561730,,
60561740,,
60561790,,
60561900,339.29999,-.90537566
60561910,,
60561920,,
60561990,,
60562000,466.89999,-.021414584
60562100,,
60562200,,
60562211,,
60562219,,
60562900,,
60562910,,
60562990,,
65000000,24523,-.30895564
65610000,3822.6001,-.39605898
65611100,,
65611200,,
65611300,,
65611400,,
65611420,,
65611430,,
65611500,,
65611600,,
65611610,,
65611620,,
65611690,,
65611700,,
65620000,20700.1,-.29478487
65620001,16466.5,-.25743535
65621000,7815.7998,-.51804489
65621100,2711.2,-.44065806
65621111,,
65621112,,
65621200,960,-1.7601322
65621300,981.70001,-.66781098
65621310,,
65621320,,
65621330,,
65621340,,
65621390,,
65621391,,
65621399,,
65621400,986.40002,.52996457
65621420,,
65621490,,
65621491,,
65621492,,
65621493,,
65621498,,
65621500,287.79999,-.38075671
65621511,,
65621512,,
65621600,1566.5,-.37522414
65621900,322.20001,-.952959
65621910,,
65621990,,
65621991,,
65621999,,
65622000,5261.5,.0038050544
65622100,,
65622200,,
65622300,,
65623000,3389.2,-.058976173
65623100,1590.3,-.11305363
65623200,654.29999,.19907929
65623210,,
65623220,,
65623300,976.40002,-.15338992
65623311,,
65623312,,
65623900,168.2,0
65624000,4233.6001,-.43975514
65624100,2702.1001,.10002947
65624110,,
65624120,,
65624190,,
65624200,186,0
65624210,,
65624230,,
65624300,323.39999,-.85837466
65624400,1022.1,-1.7872564
70000000,16393,-2.7237122
70710000,2462.3,-.53322363
70711000,509.5,-.85620242
70711100,,
70711130,,
70711190,,
70711200,,
70711211,,
70711212,,
70711219,,
70711300,,
70711500,,
70712000,174.3,-.68375897
70712110,,
70712190,,
70713000,1778.5,-.42550674
70713100,,
70713200,,
70713210,,
70713290,,
70713900,,
70713910,,
70713920,,
70713930,,
70713940,,
70713950,,
70713990,,
70720000,13930.3,-3.1043489
70721000,2064.8,-1.3803269
70721100,,
70721110,,
70721120,,
70721190,,
70721191,,
70721199,,
70721200,,
70721211,,
70721214,,
70722000,11865.5,-3.3982234
70722300,,
70722310,,
70722330,,
70722400,,
70722500,,
70722511,,
70722513,,
70722514,,
70722515,,
80000000,5919,-.40383646
80811000,1370.1,-.63098878
80811100,,
80811110,,
80811111,,
80811113,,
80811118,,
80811120,,
80811121,,
80811122,,
80811190,,
80811192,,
80811198,,
80811200,,
80811212,,
80811219,,
80811300,,
80811400,,
80812000,1524.4,-.85203093
80812100,,
80812110,,
80812112,,
80812113,,
80812190,,
80812200,,
80812210,,
80812220,,
80812300,,
80812310,,
80812320,,
80812330,,
80812331,,
80812332,,
80812900,,
80812910,,
80812930,,
80812990,,
80813000,3024.1001,-.075991437
80813200,,
80813211,,
80813212,,
80813219,,
80813300,,
80813311,,
80813319,,
80813400,,
80813900,,
80813910,,
80813920,,
80813930,,
80813990,,
90000000,22759,.052754208
90910000,2881,.62871116
90911000,2281.3999,.8621071
90916220,,
90919110,,
90919120,599.5,-.29934937
90919999,,
90920000,5184,-.26933435
90921611,2480.2,-.34555197
90922000,2704.1001,-.20298198
90922622,,
90922920,,
90922999,,
90930000,14694,.05447365
90931611,8048.1001,-.0037250223
90932000,6645.5,.11449552
90932221,,
90932480,,
90932622,,
90932920,,
90932999,,
