ces_industry,employment,growth
43492000,847.79999,2.1113498
43492100,733.20001,
43492200,113.4,
43493000,1207.8,-6.0606117
43493110,1080.6,
43493120,66.400002,
43493190,60.099998,
44220000,546.09998,-1.1170071
44221100,381.70001,
44221110,144.10001,
44221112,83,
44221118,61.200001,
44221120,237.8,
44221121,25.1,
44221122,212.7,
44221200,110.9,
44221300,53.400002,
50000000,2894,-10.919143
50511000,770,-3.6363637
50511100,283.70001,
50511110,121.4,
50511120,79.400002,
50511130,56.799999,
50511190,25.9,
50511200,486.29999,
50512000,456.29999,-52.794216
50512110,246.10001,
50512130,159.8,
50515000,263.29999,-8.7352772
50515100,213,
50515110,80,
50515120,132.89999,
50515200,50.400002,
50517000,700.5,-1.8272645
50517300,615.90002,
50517311,510.10001,
50517312,105,
50517900,85.099998,
50517911,46.5,
50518000,349.60001,-2.8032088
50519000,354.39999,-.36681372
50519130,287.60001,
50519190,66.900002,
55000000,8845,-2.8151498
55520000,6486.3999,-.58121157
55521000,19.299999,2.072547
55522000,2680.5,-.95877451
55522100,1788.1,-.67110342
55522110,1393.8,-.39460465
55522120,94.5,
55522190,298.39999,
55522200,587.20001,-1.7540851
55522210,72,
55522220,96,
55522290,418.60001,
55522291,104.4,
55522292,221,
55522298,93,
55522300,305.20001,-1.1140316
55522310,89,
55522320,133.2,
55522390,83.199997,
55523000,968.79999,-.12386584
55523120,279.5,
55523200,455.39999,
55523900,514.5,
55523910,29.700001,
55523920,218.2,
55523930,203.60001,
55523990,63,
55524000,2817.8,-.39747146
55524100,1613.3,
55524110,932.29999,
55524113,349,
55524114,583.20001,
55524120,654.79999,
55524126,559.70001,
55524128,94.800003,
55524130,27.4,
55524200,1204.3,
55524210,853.09998,
55524290,352.39999,
55524291,52.5,
55524292,209.10001,
55524298,90.400002,
55530000,2358.5,-8.9633198
55531000,1750,-6.0800014
55531100,622,
55531110,366,
55531120,156.60001,
55531130,58.299999,
55531190,41.099998,
55531200,371.39999,
55531300,757.59998,
55531310,655.90002,
55531311,481.10001,
55531312,174.39999,
55531320,34.200001,
55531390,67.800003,
55532000,584.79999,-17.852257
55532100,228.7,
55532110,136.5,
55532120,92.5,
55532200,135.8,
55532283,36.099998,
55532300,36.200001,
55532400,180.10001,
55532410,94.300003,
55532490,86,
55533000,23.700001,-2.5316472
60000000,21550,-10.004641
60540000,9707.5996,-5.2412524
60541100,1162.7,-5.6076336
60541110,1069.8,
60541190,93,
60541200,1038,-5.0770726
60541211,500.60001,
60541213,86.900002,
60541214,188.2,
60541219,268.20001,
60541300,1539.8,-4.7213969
60541310,200,
60541320,36.200001,
60541340,1034.4,
60541370,91.900002,
60541380,179.10001,
60541400,145.10001,-12.887667
60541410,48.799999,
60541430,60.799999,
60541500,2252.7,-4.1993985
60541511,1005.7,
60541512,1055.2,
60541513,75,
60541519,118.9,
60541600,1561.1,-4.8683619
60541610,1270.1,
60541611,663.70001,
60541612,86.300003,
60541613,279,
60541614,133.7,
60541618,107.9,
60541620,88.900002,
60541690,202,
60541700,749.5,-2.0547063
60541710,683.20001,
60541713,22.1,
60541714,219.2,
60541715,442.20001,
60541720,66.5,
60541800,492.60001,-8.9727993
60541810,207.8,
60541820,61.400002,
60541840,35.700001,
60541850,33.700001,
60541860,40.200001,
60541890,114.3,
60541900,766.09998,-9.0458155
60541910,94.5,
60541920,42.900002,
60541940,408.39999,
60541990,220.8,
60550000,2447.3,-4.7113166
60551112,88,
60551114,2358.6001,
60560000,9395,-16.301224
60561000,8928,-16.979166
60561100,530.29999,-7.2788944
60561200,164.3,-8.0949497
60561300,3650.2,-26.486221
60561310,299.5,
60561311,255.3,
60561312,43.700001,
60561320,2939.8,-29.008778
60561330,411.70001,
60561400,869.40002,-12.836443
60561410,48.400002,
60561420,487.60001,
60561421,33.5,
60561422,454,
60561430,83,
60561440,124.2,
60561450,22.4,
60561490,103.5,
60561500,222.5,-23.91011
60561510,91.800003,
60561520,29.9,
60561590,99.199997,
60561600,970.20001,-8.7095442
60561610,816.5,
60561611,40.5,
60561613,776.20001,
60561620,152.7,
60561700,2178.8,-9.2665701
60561710,131.89999,
60561720,1112.8,
60561730,808.59998,
60561740,39.299999,
60561790,90.400002,
60561900,342.29999,-13.438505
60561910,64.300003,
60561920,69.599998,
60561990,210.2,
60562000,467,-3.3404725
60562100,195.8,
60562200,102.7,
60562211,38.099998,
60562219,64.300003,
60562900,168.39999,
60562910,94.5,
60562990,74,
65000000,24586,-9.5338812
65610000,3828.5,-12.320751
65611100,1130.2,
65611200,52.299999,
65611300,1804.3,
65611400,81,
65611420,21,
65611430,59.599998,
65611500,116.4,
65611600,487,
65611610,117.2,
65611620,146.3,
65611690,219,
65611700,161.7,
65620000,20757.699,-9.0197802
65620001,16507.199,-7.6221242
65621000,7855.2002,-12.091357
65621100,2722.8999,-8.7810736
65621111,2661,
65621112,61.700001,
65621200,977,-30.450357
65621300,987.79999,-16.22798
65621310,141,
65621320,140.89999,
65621330,122.1,
65621340,429.60001,
65621390,153.39999,
65621391,33.5,
65621399,120,
65621400,980.20001,-7.5902901
65621420,258.39999,
65621490,720.09998,
65621491,208.89999,
65621492,132.10001,
65621493,164,
65621498,214.7,
65621500,289.60001,-10.773484
65621511,208.39999,
65621512,81.099998,
65621600,1572.4,-7.2945862
65621900,325.29999,-10.021511
65621910,178.89999,
65621990,145.89999,
65621991,80.199997,
65621999,65.300003,
65622000,5261,-2.8321612
65622100,4834,
65622200,149.10001,
65622300,278.20001,
65623000,3391,-4.7006755
65623100,1592.2,-4.3524637
65623200,653,-6.1868339
65623210,413.89999,
65623220,239.10001,
65623300,977.90002,-4.2540174
65623311,512.5,
65623312,465.39999,
65623900,167.89999,-4.824295
65624000,4250.5,-14.447715
65624100,2699.8999,-8.0225143
65624110,211,
65624120,2041.3,
65624190,445.89999,
65624200,186,-3.602149
65624210,37.200001,
65624230,148.7,
65624300,326,-19.877296
65624400,1038.6,-31.388409
70000000,16867,-41.756092
70710000,2472.3999,-52.588577
70711000,511.70001,-48.094585
70711100,133.2,
70711130,34.799999,
70711190,98.800003,
70711200,145.3,
70711211,98.699997,
70711212,25.4,
70711219,22.4,
70711300,181.10001,
70711500,51.5,
70712000,175.2,-30.194061
70712110,103.1,
70712190,71.599998,
70713000,1785.5,-56.073929
70713100,227.39999,
70713200,116.7,
70713210,76.300003,
70713290,40.799999,
70713900,1434.4,
70713910,369.20001,
70713920,44.5,
70713930,45.200001,
70713940,665.20001,
70713950,69.800003,
70713990,251.3,
70720000,14394.1,-39.890648
70721000,2091,-50.726921
70721100,2019.5,
70721110,1700.6,
70721120,277.10001,
70721190,39.700001,
70721191,15.7,
70721199,24,
70721200,72.699997,
70721211,35.799999,
70721214,36.5,
70722000,12303.1,-38.048946
70722300,746.40002,
70722310,539,
70722330,204.8,
70722400,397.60001,
70722500,11155.2,
70722511,5633.8999,
70722513,4604.6001,
70722514,110.9,
70722515,794.59998,
80000000,5941,-18.363913
80811000,1378.6,-11.99042
80811100,967.20001,
80811110,412.5,
80811111,365.5,
80811113,22.700001,
80811118,24.6,
80811120,284.89999,
