Context,Code,Occupation
25,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
25,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
24,33-3011.00,Bailiffs
24,35-1011.00,Chefs and Head Cooks
24,19-1029.03,Geneticists
24,47-2132.00,"Insulation Workers, Mechanical"
24,21-1015.00,Rehabilitation Counselors
24,39-9041.00,Residential Advisors
23,11-3012.00,Administrative Services Managers
23,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
23,25-2023.00,"Career/Technical Education Teachers, Middle School"
23,19-2031.00,Chemists
23,19-1041.00,Epidemiologists
23,19-4099.01,Quality Control Analysts
23,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
23,53-7062.04,Recycling and Reclamation Workers
22,17-3022.00,Civil Engineering Technologists and Technicians
22,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
22,43-9022.00,Word Processors and Typists
21,27-2031.00,Dancers
21,11-9032.00,"Education Administrators, Kindergarten through Secondary"
21,11-9033.00,"Education Administrators, Postsecondary"
21,53-7064.00,"Packers and Packagers, Hand"
21,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
20,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
20,25-1053.00,"Environmental Science Teachers, Postsecondary"
20,49-3041.00,Farm Equipment Mechanics and Service Technicians
20,39-5091.00,"Makeup Artists, Theatrical and Performance"
20,49-2098.00,Security and Fire Alarm Systems Installers
19,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
19,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
19,13-1041.01,Environmental Compliance Inspectors
19,43-4071.00,File Clerks
19,41-2031.00,Retail Salespersons
19,53-5011.00,Sailors and Marine Oilers
19,17-2051.02,Water/Wastewater Engineers
19,19-1023.00,Zoologists and Wildlife Biologists
18,45-2011.00,Agricultural Inspectors
18,39-2011.00,Animal Trainers
18,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
18,11-1011.00,Chief Executives
18,33-9091.00,Crossing Guards and Flaggers
18,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
18,47-2121.00,Glaziers
18,47-4041.00,Hazardous Materials Removal Workers
18,49-3051.00,Motorboat Mechanics and Service Technicians
18,27-2042.00,Musicians and Singers
18,19-5011.00,Occupational Health and Safety Specialists
18,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
18,51-3023.00,Slaughterers and Meat Packers
17,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
17,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
17,17-3025.00,Environmental Engineering Technologists and Technicians
17,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
17,45-4011.00,Forest and Conservation Workers
17,11-9071.00,Gambling Managers
17,51-8092.00,Gas Plant Operators
17,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
17,25-4022.00,Librarians and Media Collections Specialists
17,43-4131.00,Loan Interviewers and Clerks
17,19-1031.03,Park Naturalists
17,43-5051.00,Postal Service Clerks
17,11-9131.00,Postmasters and Mail Superintendents
17,19-3034.00,School Psychologists
17,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
16,53-7061.00,Cleaners of Vehicles and Equipment
16,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
16,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
16,17-2081.00,Environmental Engineers
16,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
16,43-3041.00,Gambling Cage Workers
16,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
16,25-9031.00,Instructional Coordinators
16,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
16,25-4031.00,Library Technicians
16,11-9199.08,Loss Prevention Managers
16,51-4061.00,"Model Makers, Metal and Plastic"
16,11-3051.01,Quality Control Systems Managers
16,33-9032.00,Security Guards
16,53-5031.00,Ship Engineers
16,49-3093.00,Tire Repairers and Changers
16,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
16,35-3031.00,Waiters and Waitresses
16,47-4099.03,Weatherization Installers and Technicians
15,19-4012.00,Agricultural Technicians
15,53-2022.00,Airfield Operations Specialists
15,43-3021.00,Billing and Posting Clerks
15,19-1029.01,Bioinformatics Scientists
15,47-2011.00,Boilermakers
15,51-9011.00,Chemical Equipment Operators and Tenders
15,11-9161.00,Emergency Management Directors
15,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
15,19-4071.00,Forest and Conservation Technicians
15,25-1022.00,"Mathematical Science Teachers, Postsecondary"
15,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
15,51-7031.00,"Model Makers, Wood"
15,11-9121.00,Natural Sciences Managers
15,53-6021.00,Parking Attendants
15,53-4031.00,Railroad Conductors and Yardmasters
14,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
14,19-3091.00,Anthropologists and Archeologists
14,47-2041.00,Carpet Installers
14,39-9031.00,Exercise Trainers and Group Fitness Instructors
14,25-9021.00,Farm and Home Management Educators
14,11-9179.01,Fitness and Wellness Coordinators
14,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
14,11-1021.00,General and Operations Managers
14,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
14,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
14,23-1011.00,Lawyers
14,19-4051.00,Nuclear Technicians
14,25-1066.00,"Psychology Teachers, Postsecondary"
14,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
13,19-4031.00,Chemical Technicians
13,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
13,11-9199.02,Compliance Managers
13,15-1231.00,Computer Network Support Specialists
13,21-2021.00,"Directors, Religious Activities and Education"
13,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
13,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
13,51-4192.00,"Layout Workers, Metal and Plastic"
13,53-3033.00,Light Truck Drivers
13,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
13,53-4011.00,Locomotive Engineers
13,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
13,47-2171.00,Reinforcing Iron and Rebar Workers
13,17-3024.01,Robotics Technicians
13,53-7065.00,Stockers and Order Fillers
12,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
12,49-9092.00,Commercial Divers
12,25-1122.00,"Communications Teachers, Postsecondary"
12,25-1021.00,"Computer Science Teachers, Postsecondary"
12,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
12,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
12,19-4013.00,Food Science Technicians
12,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
12,39-3012.00,Gambling and Sports Book Writers and Runners
12,47-3012.00,Helpers--Carpenters
12,47-3013.00,Helpers--Electricians
12,49-9031.00,Home Appliance Repairers
12,13-1032.00,"Insurance Appraisers, Auto Damage"
12,17-2199.09,Nanosystems Engineers
12,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
12,33-9099.02,Retail Loss Prevention Specialists
12,43-2021.00,Telephone Operators
12,47-2044.00,Tile and Stone Setters
12,27-2023.00,"Umpires, Referees, and Other Sports Officials"
11,15-2099.01,Bioinformatics Technicians
11,51-8013.03,Biomass Plant Technicians
11,17-2041.00,Chemical Engineers
11,35-2011.00,"Cooks, Fast Food"
11,43-4031.00,"Court, Municipal, and License Clerks"
11,43-9021.00,Data Entry Keyers
11,25-1063.00,"Economics Teachers, Postsecondary"
11,47-2111.00,Electricians
11,47-4011.01,Energy Auditors
11,25-1064.00,"Geography Teachers, Postsecondary"
11,49-9043.00,"Maintenance Workers, Machinery"
11,47-2142.00,Paperhangers
11,43-5031.00,Public Safety Telecommunicators
11,47-5013.00,"Service Unit Operators, Oil and Gas"
11,11-9179.02,Spa Managers
10,53-1041.00,Aircraft Cargo Handling Supervisors
10,39-6011.00,Baggage Porters and Bellhops
10,11-3051.03,Biofuels Production Managers
10,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
10,35-2014.00,"Cooks, Restaurant"
10,41-2021.00,Counter and Rental Clerks
10,25-1081.00,"Education Teachers, Postsecondary"
10,17-2199.03,"Energy Engineers, Except Wind and Solar"
10,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
10,41-1011.00,First-Line Supervisors of Retail Sales Workers
10,11-9051.00,Food Service Managers
10,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
10,17-2112.01,Human Factors Engineers and Ergonomists
10,41-3021.00,Insurance Sales Agents
10,49-9094.00,Locksmiths and Safe Repairers
10,27-3023.00,"News Analysts, Reporters, and Journalists"
10,33-3041.00,Parking Enforcement Workers
10,19-2012.00,Physicists
10,43-3061.00,Procurement Clerks
10,19-1031.02,Range Managers
10,39-5093.00,Shampooers
10,47-2211.00,Sheet Metal Workers
10,47-2221.00,Structural Iron and Steel Workers
10,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
10,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
9,51-9191.00,Adhesive Bonding Machine Operators and Tenders
9,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
9,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
9,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
9,43-5011.00,Cargo and Freight Agents
9,47-2031.00,Carpenters
9,27-2022.00,Coaches and Scouts
9,11-9021.00,Construction Managers
9,27-3092.00,Court Reporters and Simultaneous Captioners
9,35-9021.00,Dishwashers
9,53-3031.00,Driver/Sales Workers
9,25-1032.00,"Engineering Teachers, Postsecondary"
9,25-1123.00,"English Language and Literature Teachers, Postsecondary"
9,47-4031.00,Fence Erectors
9,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
9,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
9,51-1011.00,First-Line Supervisors of Production and Operating Workers
9,49-9099.01,Geothermal Technicians
9,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
9,37-3011.00,Landscaping and Groundskeeping Workers
9,13-2072.00,Loan Officers
9,27-2041.00,Music Directors and Composers
9,19-4051.02,Nuclear Monitoring Technicians
9,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
9,25-1113.00,"Social Work Teachers, Postsecondary"
9,25-1067.00,"Sociology Teachers, Postsecondary"
9,47-1011.03,Solar Energy Installation Managers
9,17-1022.00,Surveyors
9,47-2082.00,Tapers
8,39-3091.00,Amusement and Recreation Attendants
8,35-3023.01,Baristas
8,43-3011.00,Bill and Account Collectors
8,19-1029.04,Biologists
8,11-3051.04,Biomass Power Plant Managers
8,51-8091.00,Chemical Plant and System Operators
8,15-1232.00,Computer User Support Specialists
8,39-6012.00,Concierges
8,39-3092.00,Costume Attendants
8,47-5023.00,"Earth Drillers, Except Oil and Gas"
8,43-6011.00,Executive Secretaries and Executive Administrative Assistants
8,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
8,51-4071.00,Foundry Mold and Coremakers
8,25-1125.00,"History Teachers, Postsecondary"
8,11-3051.06,Hydroelectric Production Managers
8,49-9041.00,Industrial Machinery Mechanics
8,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
8,13-1081.00,Logisticians
8,53-5022.00,Motorboat Operators
8,27-4021.00,Photographers
8,47-2072.00,Pile Driver Operators
8,43-5052.00,Postal Service Mail Carriers
8,33-9021.00,Private Detectives and Investigators
8,47-4091.00,Segmental Pavers
8,25-3021.00,Self-Enrichment Teachers
8,15-1241.01,Telecommunications Engineering Specialists
8,53-6051.00,Transportation Inspectors
8,11-9121.02,Water Resource Specialists
7,53-2021.00,Air Traffic Controllers
7,49-3023.00,Automotive Service Technicians and Mechanics
7,51-3011.00,Bakers
7,25-1052.00,"Chemistry Teachers, Postsecondary"
7,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
7,35-2015.00,"Cooks, Short Order"
7,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
7,51-2023.00,Electromechanical Equipment Assemblers
7,45-2041.00,"Graders and Sorters, Agricultural Products"
7,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
7,19-3093.00,Historians
7,17-2112.00,Industrial Engineers
7,27-1025.00,Interior Designers
7,49-9011.00,Mechanical Door Repairers
7,17-2141.00,Mechanical Engineers
7,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
7,49-9063.00,Musical Instrument Repairers and Tuners
7,43-3051.00,Payroll and Timekeeping Clerks
7,25-1054.00,"Physics Teachers, Postsecondary"
7,19-3094.00,Political Scientists
7,51-4052.00,"Pourers and Casters, Metal"
7,47-5012.00,"Rotary Drill Operators, Oil and Gas"
7,19-3041.00,Sociologists
7,43-9111.00,Statistical Assistants
7,47-2053.00,Terrazzo Workers and Finishers
7,11-3131.00,Training and Development Managers
7,25-3041.00,Tutors
7,27-3043.00,Writers and Authors
6,25-1031.00,"Architecture Teachers, Postsecondary"
6,27-2021.00,Athletes and Sports Competitors
6,49-2097.00,Audiovisual Equipment Installers and Repairers
6,13-2031.00,Budget Analysts
6,15-2051.02,Clinical Data Managers
6,19-1031.00,Conservation Scientists
6,47-4011.00,Construction and Building Inspectors
6,47-5041.00,Continuous Mining Machine Operators
6,35-2013.00,"Cooks, Private Household"
6,13-2071.00,Credit Counselors
6,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
6,47-2081.00,Drywall and Ceiling Tile Installers
6,19-3011.00,Economists
6,19-2041.02,Environmental Restoration Planners
6,19-2041.00,"Environmental Scientists and Specialists, Including Health"
6,47-2043.00,Floor Sanders and Finishers
6,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
6,35-2021.00,Food Preparation Workers
6,13-1131.00,Fundraisers
6,19-2043.00,Hydrologists
6,11-3051.00,Industrial Production Managers
6,25-1112.00,"Law Teachers, Postsecondary"
6,17-2112.03,Manufacturing Engineers
6,17-2199.06,Microsystems Engineers
6,17-3026.01,Nanotechnology Engineering Technologists and Technicians
6,47-2161.00,Plasterers and Stucco Masons
6,51-8013.00,Power Plant Operators
6,17-2072.01,Radio Frequency Identification Device Specialists
6,41-9021.00,Real Estate Brokers
6,49-9096.00,Riggers
6,47-5071.00,"Roustabouts, Oil and Gas"
6,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
6,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
6,41-4011.07,Solar Sales Representatives and Assessors
6,27-4014.00,Sound Engineering Technicians
6,47-2022.00,Stonemasons
6,51-2041.00,Structural Metal Fabricators and Fitters
6,17-3031.00,Surveying and Mapping Technicians
6,13-2082.00,Tax Preparers
6,25-9044.00,"Teaching Assistants, Postsecondary"
6,11-3071.00,"Transportation, Storage, and Distribution Managers"
6,53-7073.00,Wellhead Pumpers
5,27-2011.00,Actors
5,17-2021.00,Agricultural Engineers
5,27-4011.00,Audio and Video Technicians
5,51-8099.01,Biofuels Processing Technicians
5,47-2051.00,Cement Masons and Concrete Finishers
5,15-1211.00,Computer Systems Analysts
5,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
5,53-7011.00,Conveyor Operators and Tenders
5,25-4012.00,Curators
5,43-4051.00,Customer Service Representatives
5,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
5,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
5,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
5,35-3023.00,Fast Food and Counter Workers
5,17-2111.02,Fire-Prevention and Protection Engineers
5,13-2099.04,"Fraud Examiners, Investigators and Analysts"
5,17-1022.01,Geodetic Surveyors
5,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
5,47-3016.00,Helpers--Roofers
5,11-3121.00,Human Resources Managers
5,13-1071.00,Human Resources Specialists
5,15-1299.09,Information Technology Project Managers
5,51-7032.00,"Patternmakers, Wood"
5,25-1065.00,"Political Science Teachers, Postsecondary"
5,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
5,11-9199.01,Regulatory Affairs Managers
5,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
5,49-9097.00,Signal and Track Switch Repairers
5,27-2012.04,Talent Directors
5,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
5,41-9041.00,Telemarketers
5,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
5,17-2051.01,Transportation Engineers
5,17-2112.02,Validation Engineers
4,45-2091.00,Agricultural Equipment Operators
4,49-3011.00,Aircraft Mechanics and Service Technicians
4,17-3011.00,Architectural and Civil Drafters
4,53-6031.00,Automotive and Watercraft Service Attendants
4,35-3011.00,Bartenders
4,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
4,47-2021.00,Brickmasons and Blockmasons
4,53-6011.00,Bridge and Lock Tenders
