Importance,Level,Code,Occupation
56,43,39-5091.00,"Makeup Artists, Theatrical and Performance"
56,39,47-2011.00,Boilermakers
55,61,11-9199.07,Security Managers
55,59,11-9161.00,Emergency Management Directors
55,55,33-3011.00,Bailiffs
55,55,29-9011.00,Occupational Health and Safety Specialists
55,54,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
55,53,33-9032.00,Security Guards
55,52,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
55,48,53-7032.00,Excavating and Loading Machine and Dragline Operators
55,48,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
55,46,25-2023.00,"Career/Technical Education Teachers, Middle School"
55,43,39-3092.00,Costume Attendants
55,41,51-3093.00,Food Cooking Machine Operators and Tenders
55,39,41-2021.00,Counter and Rental Clerks
54,55,11-3051.00,Industrial Production Managers
54,54,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
54,52,11-3051.02,Geothermal Production Managers
54,51,25-1054.00,"Physics Teachers, Postsecondary"
54,49,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
54,48,17-3023.03,Electrical Engineering Technicians
54,47,41-2012.00,Gaming Change Persons and Booth Cashiers
54,47,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
54,46,15-1199.09,Information Technology Project Managers
54,42,43-5081.02,Marking Clerks
54,38,43-9041.01,Insurance Claims Clerks
54,38,43-2021.00,Telephone Operators
53,58,17-2111.01,Industrial Safety and Health Engineers
53,55,11-9199.08,Loss Prevention Managers
53,55,13-1121.00,"Meeting, Convention, and Event Planners"
53,53,19-1029.03,Geneticists
53,52,47-4031.00,Fence Erectors
53,50,39-2011.00,Animal Trainers
53,48,53-7011.00,Conveyor Operators and Tenders
53,47,41-1011.00,First-Line Supervisors of Retail Sales Workers
53,47,13-2052.00,Personal Financial Advisors
53,45,25-1122.00,"Communications Teachers, Postsecondary"
53,44,43-9022.00,Word Processors and Typists
53,42,49-9021.01,Heating and Air Conditioning Mechanics and Installers
53,42,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
53,40,51-6011.00,Laundry and Dry-Cleaning Workers
53,29,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
52,49,49-9099.01,Geothermal Technicians
52,49,47-5012.00,"Rotary Drill Operators, Oil and Gas"
52,47,49-9062.00,Medical Equipment Repairers
52,47,51-8031.00,Water and Wastewater Treatment Plant and System Operators
52,46,51-8099.04,Hydroelectric Plant Technicians
52,45,11-9013.01,Nursery and Greenhouse Managers
52,45,47-2161.00,Plasterers and Stucco Masons
52,43,47-4091.00,Segmental Pavers
52,41,51-9011.00,Chemical Equipment Operators and Tenders
52,40,37-3013.00,Tree Trimmers and Pruners
52,38,35-2014.00,"Cooks, Restaurant"
52,36,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food"
52,36,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
51,56,53-2012.00,Commercial Pilots
51,54,49-9095.00,Manufactured Building and Mobile Home Installers
51,53,15-1121.01,Informatics Nurse Specialists
51,50,19-1042.00,"Medical Scientists, Except Epidemiologists"
51,49,47-5042.00,Mine Cutting and Channeling Machine Operators
51,48,19-4093.00,Forest and Conservation Technicians
51,48,29-2012.00,Medical and Clinical Laboratory Technicians
51,48,19-4051.02,Nuclear Monitoring Technicians
51,48,19-1031.03,Park Naturalists
51,48,47-5061.00,"Roof Bolters, Mining"
51,48,53-4041.00,Subway and Streetcar Operators
51,45,25-3099.02,Tutors
51,44,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
51,42,53-7073.00,Wellhead Pumpers
51,40,53-1011.00,Aircraft Cargo Handling Supervisors
51,37,51-9111.00,Packaging and Filling Machine Operators and Tenders
51,37,41-2031.00,Retail Salespersons
51,35,13-1031.02,"Insurance Adjusters, Examiners, and Investigators"
50,51,25-3021.00,Self-Enrichment Education Teachers
50,49,51-4192.00,"Layout Workers, Metal and Plastic"
50,49,21-1092.00,Probation Officers and Correctional Treatment Specialists
50,47,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
50,47,39-1012.00,Slot Supervisors
50,46,47-2031.02,Rough Carpenters
50,45,51-9141.00,Semiconductor Processors
50,44,37-2012.00,Maids and Housekeeping Cleaners
50,43,47-5041.00,Continuous Mining Machine Operators
50,43,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
50,41,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
50,40,11-9051.00,Food Service Managers
50,40,47-2132.00,"Insulation Workers, Mechanical"
