Context,Code,Occupation
88,29-1141.04,Clinical Nurse Specialists
88,25-1122.00,"Communications Teachers, Postsecondary"
88,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
88,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
88,11-9033.00,"Education Administrators, Postsecondary"
88,25-1081.00,"Education Teachers, Postsecondary"
88,51-6092.00,Fabric and Apparel Patternmakers
88,25-9021.00,Farm and Home Management Advisors
88,45-1011.05,First-Line Supervisors of Logging Workers
88,27-1023.00,Floral Designers
88,17-3026.00,Industrial Engineering Technicians
88,13-2053.00,Insurance Underwriters
88,25-1112.00,"Law Teachers, Postsecondary"
88,39-5092.00,Manicurists and Pedicurists
88,29-2011.00,Medical and Clinical Laboratory Technologists
88,27-2042.02,"Musicians, Instrumental"
88,47-2072.00,Pile-Driver Operators
88,51-8012.00,Power Distributors and Dispatchers
88,51-8013.00,Power Plant Operators
88,11-9141.00,"Property, Real Estate, and Community Association Managers"
88,53-4031.00,Railroad Conductors and Yardmasters
88,47-5061.00,"Roof Bolters, Mining"
88,47-2181.00,Roofers
88,49-3093.00,Tire Repairers and Changers
88,39-7012.00,Travel Guides
87,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
87,27-1011.00,Art Directors
87,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
87,27-2032.00,Choreographers
87,25-1021.00,"Computer Science Teachers, Postsecondary"
87,39-3092.00,Costume Attendants
87,13-2041.00,Credit Analysts
87,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
87,29-1031.00,Dietitians and Nutritionists
87,41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
87,13-1074.00,Farm Labor Contractors
87,43-4071.00,File Clerks
87,51-3093.00,Food Cooking Machine Operators and Tenders
87,53-6051.08,Freight and Cargo Inspectors
87,11-3051.02,Geothermal Production Managers
87,27-1025.00,Interior Designers
87,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
87,37-2012.00,Maids and Housekeeping Cleaners
87,11-9111.00,Medical and Health Services Managers
87,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
87,27-2041.01,Music Directors
87,15-1142.00,Network and Computer Systems Administrators
87,13-1199.06,Online Merchants
87,51-4062.00,"Patternmakers, Metal and Plastic"
87,17-2171.00,Petroleum Engineers
87,47-2152.01,Pipe Fitters and Steamfitters
87,29-1066.00,Psychiatrists
87,47-5071.00,"Roustabouts, Oil and Gas"
87,43-5071.00,"Shipping, Receiving, and Traffic Clerks"
87,53-4041.00,Subway and Streetcar Operators
87,53-7121.00,"Tank Car, Truck, and Ship Loaders"
87,39-7011.00,Tour Guides and Escorts
87,15-1199.11,Video Game Designers
86,25-9011.00,Audio-Visual and Multimedia Collections Specialists
86,51-3011.00,Bakers
86,15-1111.00,Computer and Information Research Scientists
86,47-5041.00,Continuous Mining Machine Operators
86,15-1141.00,Database Administrators
86,31-9099.02,Endoscopy Technicians
86,25-1123.00,"English Language and Literature Teachers, Postsecondary"
86,17-3025.00,Environmental Engineering Technicians
86,13-1041.03,Equal Opportunity Representatives and Officers
86,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
86,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
86,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
86,43-9041.02,Insurance Policy Processing Clerks
86,17-2141.00,Mechanical Engineers
86,17-2199.05,Mechatronics Engineers
86,29-2012.00,Medical and Clinical Laboratory Technicians
86,11-9013.01,Nursery and Greenhouse Managers
86,29-9012.00,Occupational Health and Safety Technicians
86,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
86,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
86,49-2021.01,Radio Mechanics
86,47-2171.00,Reinforcing Iron and Rebar Workers
86,33-9032.00,Security Guards
86,51-6041.00,Shoe and Leather Workers and Repairers
86,53-3041.00,Taxi Drivers and Chauffeurs
86,41-3041.00,Travel Agents
86,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
85,49-3023.01,Automotive Master Mechanics
85,39-6011.00,Baggage Porters and Bellhops
85,49-3091.00,Bicycle Repairers
85,25-1042.00,"Biological Science Teachers, Postsecondary"
85,11-1011.03,Chief Sustainability Officers
85,19-4061.01,City and Regional Planning Aides
85,27-1021.00,Commercial and Industrial Designers
85,53-7032.00,Excavating and Loading Machine and Dragline Operators
85,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
85,19-1012.00,Food Scientists and Technologists
85,19-4093.00,Forest and Conservation Technicians
85,47-2121.00,Glaziers
85,11-3051.06,Hydroelectric Production Managers
85,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
85,33-3021.06,Intelligence Analysts
85,29-2035.00,Magnetic Resonance Imaging Technologists
85,31-9011.00,Massage Therapists
85,49-9011.00,Mechanical Door Repairers
85,19-4051.02,Nuclear Monitoring Technicians
85,29-1171.00,Nurse Practitioners
85,51-9111.00,Packaging and Filling Machine Operators and Tenders
85,13-2052.00,Personal Financial Advisors
