Context,Code,Occupation
92,17-2112.00,Industrial Engineers
92,29-9099.01,Midwives
92,13-1199.06,Online Merchants
92,23-2011.00,Paralegals and Legal Assistants
92,31-9097.00,Phlebotomists
92,17-2072.01,Radio Frequency Identification Device Specialists
92,19-1031.02,Range Managers
92,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
92,49-9052.00,Telecommunications Line Installers and Repairers
91,15-2011.00,Actuaries
91,17-2021.00,Agricultural Engineers
91,43-3011.00,Bill and Account Collectors
91,53-2012.00,Commercial Pilots
91,15-1299.08,Computer Systems Engineers/Architects
91,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
91,25-4012.00,Curators
91,29-1031.00,Dietitians and Nutritionists
91,19-2041.02,Environmental Restoration Planners
91,39-4021.00,Funeral Attendants
91,27-1024.00,Graphic Designers
91,29-2092.00,Hearing Aid Specialists
91,17-2112.01,Human Factors Engineers and Ergonomists
91,17-3026.00,Industrial Engineering Technologists and Technicians
91,13-1081.01,Logistics Engineers
91,17-2112.03,Manufacturing Engineers
91,17-2199.05,Mechatronics Engineers
91,29-2012.00,Medical and Clinical Laboratory Technicians
91,29-2099.01,Neurodiagnostic Technologists
91,29-1221.00,"Pediatricians, General"
91,37-2021.00,Pest Control Workers
91,11-3131.00,Training and Development Managers
90,29-1211.00,Anesthesiologists
90,39-5011.00,Barbers
90,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
90,51-8091.00,Chemical Plant and System Operators
90,47-4011.00,Construction and Building Inspectors
90,33-3012.00,Correctional Officers and Jailers
90,29-1021.00,"Dentists, General"
90,29-1213.00,Dermatologists
90,47-4021.00,Elevator and Escalator Installers and Repairers
90,29-1128.00,Exercise Physiologists
90,11-9051.00,Food Service Managers
90,29-1216.00,General Internal Medicine Physicians
90,43-4121.00,"Library Assistants, Clerical"
90,49-9071.00,"Maintenance and Repair Workers, General"
90,13-1161.00,Market Research Analysts and Marketing Specialists
90,17-3027.00,Mechanical Engineering Technologists and Technicians
90,15-1244.00,Network and Computer Systems Administrators
90,17-3029.01,Non-Destructive Testing Specialists
90,41-2031.00,Retail Salespersons
89,27-4012.00,Broadcast Technicians
89,43-5011.00,Cargo and Freight Agents
89,17-2041.00,Chemical Engineers
89,19-2041.01,Climate Change Policy Analysts
89,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
89,17-2071.00,Electrical Engineers
89,13-1074.00,Farm Labor Contractors
89,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
89,19-4071.00,Forest and Conservation Technicians
89,15-1299.02,Geographic Information Systems Technologists and Technicians
89,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
89,11-3051.00,Industrial Production Managers
89,25-9031.00,Instructional Coordinators
89,29-1299.02,Orthoptists
89,29-1229.04,Physical Medicine and Rehabilitation Physicians
89,39-9032.00,Recreation Workers
89,29-1125.00,Recreational Therapists
89,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
89,47-2181.00,Roofers
89,49-9097.00,Signal and Track Switch Repairers
89,27-4014.00,Sound Engineering Technicians
89,13-2082.00,Tax Preparers
89,39-7012.00,Travel Guides
89,51-8031.00,Water and Wastewater Treatment Plant and System Operators
88,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
88,27-1011.00,Art Directors
88,19-2021.00,Atmospheric and Space Scientists
88,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
88,15-2051.02,Clinical Data Managers
88,31-9091.00,Dental Assistants
88,27-3041.00,Editors
88,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
88,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
88,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
88,17-1022.01,Geodetic Surveyors
88,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
88,25-4022.00,Librarians and Media Collections Specialists
88,29-2035.00,Magnetic Resonance Imaging Technologists
88,19-1022.00,Microbiologists
88,27-3023.00,"News Analysts, Reporters, and Journalists"
88,29-1023.00,Orthodontists
88,51-8021.00,Stationary Engineers and Boiler Operators
88,19-1023.00,Zoologists and Wildlife Biologists
87,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
87,13-1041.00,Compliance Officers
87,11-3021.00,Computer and Information Systems Managers
87,15-1243.00,Database Architects
87,29-2032.00,Diagnostic Medical Sonographers
87,17-3025.00,Environmental Engineering Technologists and Technicians
87,27-4032.00,Film and Video Editors
87,15-1212.00,Information Security Analysts
87,53-4011.00,Locomotive Engineers
87,21-1013.00,Marriage and Family Therapists
87,29-1123.00,Physical Therapists
87,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
87,17-2199.08,Robotics Engineers
87,33-3052.00,Transit and Railroad Police
86,29-1071.01,Anesthesiologist Assistants
86,17-3011.00,Architectural and Civil Drafters
86,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
86,15-1241.00,Computer Network Architects
86,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
86,49-9051.00,Electrical Power-Line Installers and Repairers
86,25-4031.00,Library Technicians
86,49-3051.00,Motorboat Mechanics and Service Technicians
86,11-9121.00,Natural Sciences Managers
86,15-2031.00,Operations Research Analysts
86,29-2099.05,Ophthalmic Medical Technologists
86,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
86,51-9151.00,Photographic Process Workers and Processing Machine Operators
86,31-2022.00,Physical Therapist Aides
86,51-8012.00,Power Distributors and Dispatchers
86,13-1041.07,Regulatory Affairs Specialists
86,17-3024.01,Robotics Technicians
86,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
86,47-2044.00,Tile and Stone Setters
86,17-2112.02,Validation Engineers
85,17-2011.00,Aerospace Engineers
85,29-1129.01,Art Therapists
85,29-9091.00,Athletic Trainers
85,17-2031.00,Bioengineers and Biomedical Engineers
85,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
85,15-2051.01,Business Intelligence Analysts
85,47-2041.00,Carpet Installers
85,15-1221.00,Computer and Information Research Scientists
85,27-3092.00,Court Reporters and Simultaneous Captioners
85,15-1242.00,Database Administrators
85,13-2099.01,Financial Quantitative Analysts
85,19-1032.00,Foresters
85,51-8013.04,Hydroelectric Plant Technicians
85,19-2043.00,Hydrologists
85,23-1012.00,Judicial Law Clerks
85,17-2199.06,Microsystems Engineers
85,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
85,25-1113.00,"Social Work Teachers, Postsecondary"
85,43-9111.00,Statistical Assistants
85,53-7121.00,"Tank Car, Truck, and Ship Loaders"
85,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
84,27-4011.00,Audio and Video Technicians
84,17-3027.01,Automotive Engineering Technicians
84,29-2031.00,Cardiovascular Technologists and Technicians
84,11-9121.01,Clinical Research Coordinators
84,21-1094.00,Community Health Workers
84,17-3012.00,Electrical and Electronics Drafters
84,47-4031.00,Fence Erectors
84,13-2061.00,Financial Examiners
84,25-1071.00,"Health Specialties Teachers, Postsecondary"
84,31-9092.00,Medical Assistants
84,31-9094.00,Medical Transcriptionists
84,17-2199.09,Nanosystems Engineers
84,51-5111.00,Prepress Technicians and Workers
84,33-9032.00,Security Guards
83,19-1029.01,Bioinformatics Scientists
83,53-6011.00,Bridge and Lock Tenders
83,47-2061.00,Construction Laborers
83,15-1243.01,Data Warehousing Specialists
83,33-2011.00,Firefighters
83,19-1012.00,Food Scientists and Technologists
83,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
83,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
83,29-1151.00,Nurse Anesthetists
83,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
83,53-4031.00,Railroad Conductors and Yardmasters
83,25-2057.00,"Special Education Teachers, Middle School"
83,17-3031.00,Surveying and Mapping Technicians
83,23-2093.00,"Title Examiners, Abstractors, and Searchers"
83,29-2056.00,Veterinary Technologists and Technicians
82,17-3022.00,Civil Engineering Technologists and Technicians
82,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
82,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
82,19-3093.00,Historians
82,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
82,49-9062.00,Medical Equipment Repairers
82,27-2041.00,Music Directors and Composers
82,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
82,31-2021.00,Physical Therapist Assistants
82,27-1027.00,Set and Exhibit Designers
82,15-1253.00,Software Quality Assurance Analysts and Testers
82,47-4099.03,Weatherization Installers and Technicians
82,17-2199.10,Wind Energy Engineers
81,39-6011.00,Baggage Porters and Bellhops
81,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
81,29-2011.02,Cytotechnologists
81,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
81,47-2111.00,Electricians
81,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
81,19-2041.03,Industrial Ecologists
81,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
81,31-9011.00,Massage Therapists
81,29-1122.00,Occupational Therapists
81,17-2199.07,Photonics Engineers
81,51-8013.00,Power Plant Operators
81,19-3034.00,School Psychologists
81,13-1161.01,Search Marketing Strategists
81,19-1013.00,Soil and Plant Scientists
81,15-1299.01,Web Administrators
80,19-2031.00,Chemists
80,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
80,43-9021.00,Data Entry Keyers
80,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
80,25-1112.00,"Law Teachers, Postsecondary"
80,17-2131.00,Materials Engineers
80,51-9082.00,Medical Appliance Technicians
80,29-1041.00,Optometrists
80,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
80,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
80,17-3029.08,Photonics Technicians
80,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
80,39-9041.00,Residential Advisors
80,49-9096.00,Riggers
80,51-6051.00,"Sewers, Hand"
80,29-1127.00,Speech-Language Pathologists
79,19-3091.00,Anthropologists and Archeologists
79,49-9092.00,Commercial Divers
79,17-2061.00,Computer Hardware Engineers
79,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
79,47-2152.04,Solar Thermal Installers and Technicians
79,27-3042.00,Technical Writers
79,49-9064.00,Watch and Clock Repairers
79,15-1254.00,Web Developers
78,27-2021.00,Athletes and Sports Competitors
78,51-8013.03,Biomass Plant Technicians
78,47-2021.00,Brickmasons and Blockmasons
78,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
78,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
78,47-4041.00,Hazardous Materials Removal Workers
78,39-5091.00,"Makeup Artists, Theatrical and Performance"
78,17-3013.00,Mechanical Drafters
78,17-3026.01,Nanotechnology Engineering Technologists and Technicians
78,43-9071.00,"Office Machine Operators, Except Computer"
78,29-2053.00,Psychiatric Technicians
78,47-1011.03,Solar Energy Installation Managers
78,53-6041.00,Traffic Technicians
77,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
77,41-2011.00,Cashiers
77,25-1021.00,"Computer Science Teachers, Postsecondary"
77,43-9031.00,Desktop Publishers
77,47-2081.00,Drywall and Ceiling Tile Installers
77,25-1081.00,"Education Teachers, Postsecondary"
77,47-2132.00,"Insulation Workers, Mechanical"
77,49-9095.00,Manufactured Building and Mobile Home Installers
77,47-2073.00,Operating Engineers and Other Construction Equipment Operators
77,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
77,27-1014.00,Special Effects Artists and Animators
76,19-4012.00,Agricultural Technicians
76,39-2011.00,Animal Trainers
76,19-3011.00,Economists
76,51-6092.00,Fabric and Apparel Patternmakers
76,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
76,45-4022.00,Logging Equipment Operators
76,31-1122.00,Personal Care Aides
76,31-1133.00,Psychiatric Aides
76,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
76,47-5013.00,"Service Unit Operators, Oil and Gas"
76,25-2058.00,"Special Education Teachers, Secondary School"
76,31-9099.01,Speech-Language Pathology Assistants
76,15-2041.00,Statisticians
76,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
76,49-9081.00,Wind Turbine Service Technicians
75,45-2011.00,Agricultural Inspectors
75,39-2021.00,Animal Caretakers
75,47-2031.00,Carpenters
75,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
75,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
75,51-1011.00,First-Line Supervisors of Production and Operating Workers
75,17-2141.01,Fuel Cell Engineers
75,41-2012.00,Gambling Change Persons and Booth Cashiers
75,19-3092.00,Geographers
75,51-9071.00,Jewelers and Precious Stone and Metal Workers
75,51-7031.00,"Model Makers, Wood"
75,49-3093.00,Tire Repairers and Changers
