Importance,Level,Code,Occupation
84,72,19-1012.00,Food Scientists and Technologists
84,71,29-2055.00,Surgical Technologists
84,70,33-3021.02,Police Identification and Records Officers
84,70,29-1066.00,Psychiatrists
84,69,27-4012.00,Broadcast Technicians
84,69,27-1021.00,Commercial and Industrial Designers
84,69,17-3024.00,Electro-Mechanical Technicians
84,69,19-2041.00,"Environmental Scientists and Specialists, Including Health"
84,69,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
84,68,31-9092.00,Medical Assistants
84,66,13-2021.01,Assessors
84,66,17-3029.07,Mechanical Engineering Technologists
84,65,53-1011.00,Aircraft Cargo Handling Supervisors
84,63,39-1012.00,Slot Supervisors
84,60,19-4011.01,Agricultural Technicians
84,58,17-3012.02,Electrical Drafters
84,58,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
84,57,31-2022.00,Physical Therapist Aides
83,79,11-9121.00,Natural Sciences Managers
83,77,29-1069.01,Allergists and Immunologists
83,76,19-1029.03,Geneticists
83,74,17-1022.01,Geodetic Surveyors
83,74,51-8011.00,Nuclear Power Reactor Operators
83,74,17-2199.02,Validation Engineers
83,73,17-2199.03,Energy Engineers
83,72,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
83,72,29-1151.00,Nurse Anesthetists
83,71,25-1081.00,"Education Teachers, Postsecondary"
83,71,11-3061.00,Purchasing Managers
83,70,19-4051.01,Nuclear Equipment Operation Technicians
83,69,13-1041.04,Government Property Inspectors and Investigators
83,69,29-1125.00,Recreational Therapists
83,68,53-2022.00,Airfield Operations Specialists
83,68,15-1111.00,Computer and Information Research Scientists
83,68,31-9099.02,Endoscopy Technicians
83,67,13-1199.03,Customs Brokers
83,65,29-1125.01,Art Therapists
83,64,11-1021.00,General and Operations Managers
83,59,13-1032.00,"Insurance Appraisers, Auto Damage"
83,56,51-8021.00,Stationary Engineers and Boiler Operators
83,52,43-9031.00,Desktop Publishers
82,79,29-1069.07,Pathologists
82,79,25-1066.00,"Psychology Teachers, Postsecondary"
82,77,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
82,77,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
82,77,19-3032.00,Industrial-Organizational Psychologists
82,75,17-2041.00,Chemical Engineers
82,74,11-9121.01,Clinical Research Coordinators
82,74,13-1081.01,Logistics Engineers
82,74,11-9121.02,Water Resource Specialists
82,73,17-3029.05,Industrial Engineering Technologists
82,73,13-1081.02,Logistics Analysts
82,72,17-2021.00,Agricultural Engineers
82,71,33-3012.00,Correctional Officers and Jailers
82,70,17-2171.00,Petroleum Engineers
82,70,13-1199.02,Security Management Specialists
82,69,53-6051.01,Aviation Inspectors
82,69,11-3051.04,Biomass Power Plant Managers
82,69,17-2141.00,Mechanical Engineers
82,69,21-1092.00,Probation Officers and Correctional Treatment Specialists
82,68,17-2011.00,Aerospace Engineers
82,68,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
82,68,33-2021.01,Fire Inspectors
82,67,17-3021.00,Aerospace Engineering and Operations Technicians
82,67,43-9021.00,Data Entry Keyers
82,67,33-1021.02,Forest Fire Fighting and Prevention Supervisors
82,67,31-2011.00,Occupational Therapy Assistants
82,67,41-2022.00,Parts Salespersons
82,67,25-2051.00,"Special Education Teachers, Preschool"
82,67,53-7121.00,"Tank Car, Truck, and Ship Loaders"
82,66,29-1141.03,Critical Care Nurses
82,66,31-1011.00,Home Health Aides
82,65,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers
82,64,45-2041.00,"Graders and Sorters, Agricultural Products"
82,61,43-5061.00,"Production, Planning, and Expediting Clerks"
82,61,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
82,58,43-2021.00,Telephone Operators
81,80,19-1042.00,"Medical Scientists, Except Epidemiologists"
81,78,25-1067.00,"Sociology Teachers, Postsecondary"
81,77,27-2032.00,Choreographers
81,76,25-9021.00,Farm and Home Management Advisors
81,76,11-3071.02,Storage and Distribution Managers
81,75,17-2141.02,Automotive Engineers
81,75,25-1064.00,"Geography Teachers, Postsecondary"
81,74,11-2011.00,Advertising and Promotions Managers
81,74,29-1061.00,Anesthesiologists
81,74,15-2041.01,Biostatisticians
81,74,13-1131.00,Fundraisers
81,74,17-2199.04,Manufacturing Engineers
81,74,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
81,74,27-1027.00,Set and Exhibit Designers
81,73,17-2199.01,Biochemical Engineers
81,73,15-1199.04,Geospatial Information Scientists and Technologists
81,72,15-1199.05,Geographic Information Systems Technicians
81,72,27-1025.00,Interior Designers
81,71,29-1141.02,Advanced Practice Psychiatric Nurses
81,71,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
81,71,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
81,71,11-9199.09,Wind Energy Operations Managers
81,69,25-2059.01,Adapted Physical Education Specialists
81,69,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
81,68,11-9013.03,Aquacultural Managers
81,68,15-1121.00,Computer Systems Analysts
81,68,13-1051.00,Cost Estimators
81,68,17-3029.06,Manufacturing Engineering Technologists
81,68,19-1022.00,Microbiologists
81,67,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
81,67,17-3029.03,Electromechanical Engineering Technologists
81,65,19-4092.00,Forensic Science Technicians
81,65,19-4093.00,Forest and Conservation Technicians
81,65,25-4021.00,Librarians
81,65,43-4051.03,Patient Representatives
81,61,53-4041.00,Subway and Streetcar Operators
81,57,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
81,57,43-5071.00,"Shipping, Receiving, and Traffic Clerks"
81,55,39-2021.00,Nonfarm Animal Caretakers
81,54,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
81,52,39-9021.00,Personal Care Aides
81,50,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
80,80,19-1041.00,Epidemiologists
80,77,17-2112.01,Human Factors Engineers and Ergonomists
80,76,53-2021.00,Air Traffic Controllers
80,75,17-2031.00,Biomedical Engineers
80,75,17-2051.00,Civil Engineers
80,74,25-4011.00,Archivists
80,74,11-3051.03,Biofuels Production Managers
80,72,21-2021.00,"Directors, Religious Activities and Education"
80,72,25-1053.00,"Environmental Science Teachers, Postsecondary"
80,72,19-3031.01,School Psychologists
80,71,13-2011.01,Accountants
80,71,11-9199.03,Investment Fund Managers
80,71,27-2012.01,Producers
80,70,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio"
80,69,17-3011.02,Civil Drafters
80,69,15-2041.02,Clinical Data Managers
80,69,19-4091.00,"Environmental Science and Protection Technicians, Including Health"
80,68,19-4061.01,City and Regional Planning Aides
80,67,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
80,67,49-3011.00,Aircraft Mechanics and Service Technicians
80,67,29-2011.00,Medical and Clinical Laboratory Technologists
80,67,43-4031.02,Municipal Clerks
80,67,33-3051.03,Sheriffs and Deputy Sheriffs
80,66,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
80,65,21-1013.00,Marriage and Family Therapists
80,65,29-1125.02,Music Therapists
80,65,29-2099.01,Neurodiagnostic Technologists
80,65,19-1031.01,Soil and Water Conservationists
80,64,15-1151.00,Computer User Support Specialists
80,64,47-2061.00,Construction Laborers
80,64,27-1022.00,Fashion Designers
80,64,29-1199.05,Orthoptists
