Context,Code,Occupation
81,41-3031.01,"Sales Agents, Securities and Commodities"
81,19-1031.01,Soil and Water Conservationists
81,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
81,33-9093.00,Transportation Security Screeners
81,29-2056.00,Veterinary Technologists and Technicians
80,11-2011.00,Advertising and Promotions Managers
80,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food"
80,53-2012.00,Commercial Pilots
80,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
80,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
80,39-4011.00,Embalmers
80,11-3031.02,"Financial Managers, Branch or Department"
80,33-1021.02,Forest Fire Fighting and Prevention Supervisors
80,27-1025.00,Interior Designers
80,13-2071.01,Loan Counselors
80,33-9021.00,Private Detectives and Investigators
80,43-5071.00,"Shipping, Receiving, and Traffic Clerks"
80,47-4099.02,Solar Thermal Installers and Technicians
80,53-4041.00,Subway and Streetcar Operators
80,23-2093.00,"Title Examiners, Abstractors, and Searchers"
79,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
79,19-4061.01,City and Regional Planning Aides
79,19-4092.00,Forensic Science Technicians
79,39-3012.00,Gaming and Sports Book Writers and Runners
79,29-9092.00,Genetic Counselors
79,29-1199.04,Naturopathic Physicians
79,13-1199.06,Online Merchants
79,49-3093.00,Tire Repairers and Changers
79,11-3071.01,Transportation Managers
78,11-3011.00,Administrative Services Managers
78,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
78,25-4011.00,Archivists
78,19-3031.02,Clinical Psychologists
78,33-3012.00,Correctional Officers and Jailers
78,11-1021.00,General and Operations Managers
78,13-2072.00,Loan Officers
78,31-9092.00,Medical Assistants
78,29-2057.00,Ophthalmic Medical Technicians
78,29-1141.00,Registered Nurses
78,11-9199.07,Security Managers
78,11-9151.00,Social and Community Service Managers
78,25-2052.00,"Special Education Teachers, Kindergarten and Elementary School"
77,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
77,29-1141.04,Clinical Nurse Specialists
77,25-4012.00,Curators
77,43-5041.00,"Meter Readers, Utilities"
77,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
77,29-2099.01,Neurodiagnostic Technologists
77,51-8012.00,Power Distributors and Dispatchers
77,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
77,53-3041.00,Taxi Drivers and Chauffeurs
77,43-3071.00,Tellers
76,47-4011.00,Construction and Building Inspectors
76,43-4051.00,Customer Service Representatives
76,29-2051.00,Dietetic Technicians
76,25-1081.00,"Education Teachers, Postsecondary"
76,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
76,21-1013.00,Marriage and Family Therapists
76,29-2011.00,Medical and Clinical Laboratory Technologists
76,31-9093.00,Medical Equipment Preparers
76,29-1151.00,Nurse Anesthetists
76,51-9151.00,Photographic Process Workers and Processing Machine Operators
76,43-5052.00,Postal Service Mail Carriers
76,33-9032.00,Security Guards
76,39-5093.00,Shampooers
76,25-2053.00,"Special Education Teachers, Middle School"
76,29-2055.00,Surgical Technologists
76,19-3099.01,Transportation Planners
75,17-3022.00,Civil Engineering Technicians
75,27-1021.00,Commercial and Industrial Designers
75,29-1141.03,Critical Care Nurses
75,33-1011.00,First-Line Supervisors of Correctional Officers
75,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
75,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
75,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
75,11-9199.08,Loss Prevention Managers
75,29-2035.00,Magnetic Resonance Imaging Technologists
75,43-6013.00,Medical Secretaries
75,29-1069.05,Nuclear Medicine Physicians
75,13-2052.00,Personal Financial Advisors
75,37-2021.00,Pest Control Workers
75,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
75,29-2053.00,Psychiatric Technicians
75,27-3031.00,Public Relations Specialists
75,27-3011.00,Radio and Television Announcers
75,29-2054.00,Respiratory Therapy Technicians
75,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
75,29-1069.11,Sports Medicine Physicians
75,29-2099.07,Surgical Assistants
75,49-9052.00,Telecommunications Line Installers and Repairers
74,29-1071.01,Anesthesiologist Assistants
74,43-3011.00,Bill and Account Collectors
74,13-1041.03,Equal Opportunity Representatives and Officers
74,25-4021.00,Librarians
74,13-1081.00,Logisticians
74,27-1026.00,Merchandise Displayers and Window Trimmers
74,51-9195.05,"Potters, Manufacturing"
74,21-1092.00,Probation Officers and Correctional Treatment Specialists
74,49-9021.02,Refrigeration Mechanics and Installers
74,27-2012.04,Talent Directors
73,13-2011.01,Accountants
73,29-1141.02,Advanced Practice Psychiatric Nurses
73,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
73,39-2011.00,Animal Trainers
73,11-9199.02,Compliance Managers
73,29-2021.00,Dental Hygienists
73,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
73,29-1128.00,Exercise Physiologists
73,35-3041.00,"Food Servers, Nonrestaurant"
73,21-1091.00,Health Educators
73,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
73,23-1011.00,Lawyers
73,31-9011.00,Massage Therapists
73,29-1125.00,Recreational Therapists
73,49-3092.00,Recreational Vehicle Service Technicians
73,13-1199.02,Security Management Specialists
73,17-2081.01,Water/Wastewater Engineers
73,47-4099.03,Weatherization Installers and Technicians
72,53-6051.01,Aviation Inspectors
72,53-3021.00,"Bus Drivers, Transit and Intercity"
72,21-1094.00,Community Health Workers
72,43-6011.00,Executive Secretaries and Executive Administrative Assistants
72,43-4071.00,File Clerks
72,53-3033.00,Light Truck or Delivery Services Drivers
72,49-9011.00,Mechanical Door Repairers
72,27-4021.00,Photographers
72,41-9022.00,Real Estate Sales Agents
72,35-3031.00,Waiters and Waitresses
71,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
71,25-2023.00,"Career/Technical Education Teachers, Middle School"
71,13-1199.03,Customs Brokers
71,43-9031.00,Desktop Publishers
71,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
71,19-4093.00,Forest and Conservation Technicians
71,19-1032.00,Foresters
71,13-2099.04,"Fraud Examiners, Investigators and Analysts"
71,19-3093.00,Historians
71,19-3032.00,Industrial-Organizational Psychologists
71,17-1012.00,Landscape Architects
71,43-4121.00,"Library Assistants, Clerical"
71,29-2061.00,Licensed Practical and Licensed Vocational Nurses
71,49-3051.00,Motorboat Mechanics and Service Technicians
71,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
71,11-3071.02,Storage and Distribution Managers
71,53-6041.00,Traffic Technicians
71,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
70,27-4011.00,Audio and Video Equipment Technicians
70,49-3022.00,Automotive Glass Installers and Repairers
70,19-3031.03,Counseling Psychologists
70,17-2081.00,Environmental Engineers
70,19-2041.02,Environmental Restoration Planners
70,27-1022.00,Fashion Designers
70,21-1023.00,Mental Health and Substance Abuse Social Workers
70,31-2011.00,Occupational Therapy Assistants
70,29-1066.00,Psychiatrists
70,49-2021.01,Radio Mechanics
70,29-1069.10,Radiologists
70,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
70,13-2082.00,Tax Preparers
70,25-1194.00,"Vocational Education Teachers, Postsecondary"
70,11-9199.10,Wind Energy Project Managers
70,19-1023.00,Zoologists and Wildlife Biologists
69,27-3021.00,Broadcast News Analysts
69,35-1011.00,Chefs and Head Cooks
69,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio"
69,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
69,17-3029.03,Electromechanical Engineering Technologists
69,13-1199.01,Energy Auditors
69,19-4091.00,"Environmental Science and Protection Technicians, Including Health"
69,11-9039.02,Fitness and Wellness Coordinators
69,49-9021.01,Heating and Air Conditioning Mechanics and Installers
69,51-9082.00,Medical Appliance Technicians
69,11-3061.00,Purchasing Managers
69,39-5094.00,Skincare Specialists
69,41-9041.00,Telemarketers
68,29-1199.01,Acupuncturists
68,29-1061.00,Anesthesiologists
68,11-1011.03,Chief Sustainability Officers
68,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
68,27-3041.00,Editors
68,17-3029.04,Electronics Engineering Technologists
68,47-4021.00,Elevator Installers and Repairers
68,43-5011.01,Freight Forwarders
68,47-4051.00,Highway Maintenance Workers
68,13-1071.00,Human Resources Specialists
68,43-9041.01,Insurance Claims Clerks
68,43-4111.00,"Interviewers, Except Eligibility and Loan"
68,25-4031.00,Library Technicians
68,31-2012.00,Occupational Therapy Aides
68,25-1054.00,"Physics Teachers, Postsecondary"
68,17-2072.01,Radio Frequency Identification Device Specialists
68,53-5021.01,Ship and Boat Captains
68,25-2054.00,"Special Education Teachers, Secondary School"
68,11-9199.04,Supply Chain Managers
68,11-9199.09,Wind Energy Operations Managers
67,17-3021.00,Aerospace Engineering and Operations Technicians
67,19-1011.00,Animal Scientists
67,15-1111.00,Computer and Information Research Scientists
67,47-4031.00,Fence Erectors
67,17-2111.02,Fire-Prevention and Protection Engineers
67,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
67,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
67,53-6051.08,Freight and Cargo Inspectors
67,25-1071.00,"Health Specialties Teachers, Postsecondary"
67,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
67,43-9041.02,Insurance Policy Processing Clerks
67,29-9099.01,Midwives
67,49-3052.00,Motorcycle Mechanics
67,29-1171.00,Nurse Practitioners
67,29-9011.00,Occupational Health and Safety Specialists
67,43-9071.00,"Office Machine Operators, Except Computer"
67,23-2011.00,Paralegals and Legal Assistants
67,19-4099.02,Precision Agriculture Technicians
67,11-9141.00,"Property, Real Estate, and Community Association Managers"
67,27-3012.00,Public Address System and Other Announcers
67,27-3022.00,Reporters and Correspondents
67,17-1022.00,Surveyors
66,27-2011.00,Actors
66,11-9041.00,Architectural and Engineering Managers
66,17-3011.01,Architectural Drafters
66,13-2011.02,Auditors
66,11-3051.03,Biofuels Production Managers
66,11-9021.00,Construction Managers
66,11-9033.00,"Education Administrators, Postsecondary"
66,21-1012.00,"Educational, Guidance, School, and Vocational Counselors"
66,17-2072.00,"Electronics Engineers, Except Computer"
66,25-2021.00,"Elementary School Teachers, Except Special Education"
66,45-1011.06,First-Line Supervisors of Aquacultural Workers
66,25-1192.00,"Home Economics Teachers, Postsecondary"
66,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
66,43-5081.02,Marking Clerks
66,11-9111.00,Medical and Health Services Managers
66,49-9062.00,Medical Equipment Repairers
66,21-1014.00,Mental Health Counselors
66,27-1014.00,Multimedia Artists and Animators
66,11-9121.00,Natural Sciences Managers
