Context,Code,Occupation
56,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
56,17-2199.04,Manufacturing Engineers
56,17-2121.01,Marine Engineers
56,17-3029.07,Mechanical Engineering Technologists
56,43-9071.00,"Office Machine Operators, Except Computer"
56,43-4151.00,Order Clerks
56,51-7032.00,"Patternmakers, Wood"
56,11-9131.00,Postmasters and Mail Superintendents
56,51-5111.00,Prepress Technicians and Workers
56,49-9021.02,Refrigeration Mechanics and Installers
56,19-3031.01,School Psychologists
55,41-3011.00,Advertising Sales Agents
55,19-3091.01,Anthropologists
55,49-3023.02,Automotive Specialty Technicians
55,51-3011.00,Bakers
55,51-7011.00,Cabinetmakers and Bench Carpenters
55,53-7061.00,Cleaners of Vehicles and Equipment
55,21-2011.00,Clergy
55,15-1152.00,Computer Network Support Specialists
55,43-4041.01,Credit Authorizers
55,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
55,11-1021.00,General and Operations Managers
55,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
55,17-2112.00,Industrial Engineers
55,11-3051.00,Industrial Production Managers
55,25-9031.00,Instructional Coordinators
55,25-4013.00,Museum Technicians and Conservators
55,29-9012.00,Occupational Health and Safety Technicians
55,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
55,29-1069.09,Preventive Medicine Physicians
55,51-5113.00,Print Binding and Finishing Workers
55,13-1041.07,Regulatory Affairs Specialists
55,27-3022.00,Reporters and Correspondents
55,17-2199.08,Robotics Engineers
55,11-9199.07,Security Managers
55,51-6041.00,Shoe and Leather Workers and Repairers
55,47-2082.00,Tapers
55,13-2082.00,Tax Preparers
55,41-3041.00,Travel Agents
54,49-3011.00,Aircraft Mechanics and Service Technicians
54,33-9011.00,Animal Control Workers
54,53-6051.01,Aviation Inspectors
54,17-1021.00,Cartographers and Photogrammetrists
54,11-9199.02,Compliance Managers
54,13-1199.03,Customs Brokers
54,27-3041.00,Editors
54,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
54,17-3023.01,Electronics Engineering Technicians
54,33-2022.00,Forest Fire Inspectors and Prevention Specialists
54,51-7021.00,Furniture Finishers
54,51-8092.00,Gas Plant Operators
54,25-1071.00,"Health Specialties Teachers, Postsecondary"
54,51-9198.00,Helpers--Production Workers
54,15-1142.00,Network and Computer Systems Administrators
54,27-3011.00,Radio and Television Announcers
54,41-9021.00,Real Estate Brokers
54,17-3024.01,Robotics Technicians
54,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
54,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
54,19-3051.00,Urban and Regional Planners
53,17-1011.00,"Architects, Except Landscape and Naval"
53,13-2011.02,Auditors
53,49-3023.01,Automotive Master Mechanics
53,11-3051.03,Biofuels Production Managers
53,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
53,51-9081.00,Dental Laboratory Technicians
