zip_code,latitude,longitude,population_density,employment_density,plant_size,employment,teamwork_share,customer_share,presence_share,communication_share,affected_share,face2face_share
01468,42.546001,-72.065002,73,9,6.9000001,247,28,22,14,41,52,19
01469,42.6525,-71.689598,115,27,8,831,21,36,8,46,53,30
01473,42.548302,-71.909599,79,18,6.1999998,730,21,22,18,33,50,18
01474,42.667801,-71.752197,83,6,7.3000002,80,27,5,18,28,43,12
01475,42.678902,-72.047501,93,12,8.6000004,952,21,31,6,40,45,24
01501,42.205502,-71.839104,402,340,14.8,8192,20,41,10,48,58,33
01503,42.384399,-71.635597,85,15,5.9000001,378,23,34,9,46,54,32
01504,42.028702,-71.526901,315,36,7.1999998,853,21,31,13,41,52,27
01505,42.3377,-71.731003,105,39,6.3000002,594,26,21,12,37,47,18
01506,42.1991,-72.0989,84,7,6.9000001,165,28,28,10,38,47,19
01507,42.137901,-71.9664,119,25,6,1255,22,23,15,35,49,17
01508,42.145901,-71.988403,,,10.4,176,,,,,,
01510,42.418098,-71.6828,929,277,7.5,1551,23,35,7,47,54,28
01515,42.219299,-72.048103,86,16,8.8999996,178,15,45,6,51,56,45
01516,42.052799,-71.7509,89,9,5.9000001,542,21,23,16,36,51,19
01518,42.122799,-72.117798,129,31,10.3,390,24,39,2,49,52,30
01519,42.200401,-71.686798,233,39,8.6000004,635,28,31,4,41,45,20
01520,42.341999,-71.8414,299,75,9.3000002,2074,25,38,5,47,52,27
01521,42.040298,-72.154404,78,2,6.3000002,19,25,28,5,36,40,23
01522,42.3755,-71.870598,78,4,3.5999999,47,28,22,10,36,44,19
01523,42.451,-71.686798,116,51,7,661,23,25,9,36,44,16
01524,42.237,-71.9188,162,39,8.8999996,688,21,36,6,42,47,28
01525,42.097301,-71.644798,249,232,8.3999996,59,18,24,3,29,31,16
01527,42.1968,-71.764397,328,127,10.4,2813,18,30,10,39,49,26
01529,42.0331,-71.579803,251,13,4.4000001,61,33,22,7,41,47,18
01531,42.319801,-72.1306,19,1,2.5999999,13,21,4,34,22,48,12
01532,42.318199,-71.6464,296,204,9.1999998,4140,25,31,7,44,50,23
01534,42.149399,-71.656403,248,41,5.9000001,282,25,24,8,36,43,19
01535,42.266499,-72.0821,85,16,5.1999998,335,22,30,11,44,54,23
01536,42.229698,-71.703697,319,114,7.4000001,783,22,32,12,42,53,24
